biblio_id,gmd_id,title,sor,edition,isbn_issn,publisher_id,publish_year,collation,series_title,call_number,language_id,source,publish_place_id,classification,notes,image,file_att,opac_hide,promoted,labels,frequency_id,spec_detail_info,content_type_id,media_type_id,carrier_type_id,input_date,last_update,uid
1,1,Faculty Of Dentistry Padjadjaran University,"",,,1,2011,"","","",id,,1,,,,,0,0,,0,"",,,,,2017-03-09 04:56:53,
2,1,Senator Bertanya : Catatan Penggunaan Hak bertanya Anggota DPD RI Kepada Presiden RI,"",,,2,2015,"","","",id,,0,,,,,0,0,,0,"",,,,,2017-03-09 04:58:06,
3,1,IngaInga Permesta Pe Perjuangan,"Tengker, Benny",Cetakan satu,9789791978606,12091,2009,"vi,; 234 Hlm,; 21 Cm.","",959. 803 5 Ten i,id,,2,959. 803 5 Ten i,"",20/permesta_pe_perjuangan.jpg.jpg,,0,0,,0,Reference kls 900,,,,,2017-11-07 09:51:02,
4,1,Manajemen Agribisnis Peternakan : Teori dan Contoh Kasus,,NULL,,,2008,NULL,NULL,NULL,id,,,NULL,NULL,,,0,0,,0,,,,,,,
5,1,Prahara Gunung Galunggung,,NULL,,,2010,NULL,NULL,NULL,id,,,NULL,NULL,,,0,0,,0,,,,,,,
