"id","register_number","number_of_collection","local_name","type","collector_id","status","user_created","date_created","user_updated","date_updated","specific_type","date_of_collection","locality_or_location","latitude","longitude","altitude","habitat","field_note","determinated_by","date_determinated","uses_or_bioprospect","use_category","kingdom","phylum","classis","ordo","family","genus","species","featured_image.id","featured_image"
"3613A24D-5162-43EC-AF2A-7FD303DEFCCC","BUNP-000069","MT 005","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.186Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E","400 mdpl","Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"27F40323-3F1B-4C1E-A042-078EF6696C77","BUNP-000070","MT 002","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.196Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E","400 mdpl","Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"479898AB-67AA-4A6A-A316-DFE78E1D72E4","BUNP-000071","MT 003","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.206Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E","400 mdpl","Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"C130C0E9-5F79-4527-AA94-B06B0E98D4CB","BUNP-000072","MT 001","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.216Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E","400 mdpl","Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"385A014B-1ED6-4084-847B-F711045BE571","BUNP-000073","MT 001","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.226Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E","400 mdpl","Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"87F5BE79-380F-4A3F-88DC-23CBE8A98E34","BUNP-000074","MT 003","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.233Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E","400 mdpl","Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"D377FC24-0CE5-404A-AB78-5CF582282466","BUNP-000075","MT 004","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.243Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E","400 mdpl","Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"F8D5315E-02EF-47A6-B164-8E0E68C752DB","BUNP-000076","MT 004","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.253Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E","400 mdpl","Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"E992B7F3-E848-41F8-A8E8-737564A3B64A","BUNP-000077","MT 002","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.260Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E","400 mdpl","Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"1B43A98B-F2D2-4138-83EE-805138C61F2D","BUNP-000078","MT 003","Rami",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.270Z",,,,,"Karedok, Jatigede, Kabupaten Sumedang, Jawa Barat","6° 49' 50,4"" S","108° 05' 27,6"" E",,"Kebun Rami",,"Budi Irawan",,"Bahan baku tekstil, pakan ternak, pupuk, dll",,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Boehmeria","Boehmeria nivea (L.) Gaud",,
"016646B5-74B0-4D3C-8CDA-B1BFEA74A9A0","BUNP-000079","D1D.85.068","Tomat",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.286Z",,,,,"Jatinangor",,,,"Terestrial","Frekuensi banyak",,,,,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum lycopersicum L.",,
"3B9128CE-BE91-440C-8EAE-34CE99F99383","BUNP-000080","D1D.85.068","Tomat",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.296Z",,,,,"Jatinangor",,,"Low","Terestrial",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum lycopersicum L.",,
"AFE952A6-BE4A-45D2-B051-CA8333BF4B24","BUNP-000081","BI 1154","Bangkau",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.310Z",,,,,"S. Wadio, Nabire. Papua","03°22' 44"" LS","135° 27' 00"" BT","50 asl","Mangrove Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Rhizophoraceae","Bruguiera","Bruguiera gymnorrhiza (L.) Lmk",,
"C0ABBC02-F100-45E9-8216-C92EA4505991","BUNP-000082","TS 007","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.333Z",,,,,"Kedakas Village, Tayan Hulu, Sanggau District, West Kalimantan","IS","49 N 1673 4149","50 asl","Swamps Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nephentaceae","Nepenthes L.","Nepenthes ampullaria Jack.",,
"604831B8-4E79-4853-8F99-9D7E7AF322BE","BUNP-000083","TS 007","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.340Z",,,,,"Kedakas Village, Tayan Hulu, Sanggau District, West Kalimantan","IS","49 N 1673 4149","50 asl","Swamps Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nephentaceae","Nepenthes L.","Nephentes ampullaria Jack.",,
"69CF745D-9BAC-4B81-B9FF-7AC8A11ED590","BUNP-000084","TS 007","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.350Z",,,,,"Kedakas Village, Tayan Hulu, Sanggau District, West Kalimantan","IS","49 N 1673 4149","120 asl","Swamps Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nephentaceae","Nepenthes L.","Nephentes ampullaria Jack.",,
"A5B590D9-0F23-4EA9-B672-0F62833BDF40","BUNP-000085","TS 025","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.360Z",,,,,"Selabi Village, Sekadau Hilir, Sekadau District, West Kalimantan","IS","49 N 9127 5838","120 asl","Swamps Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nephentaceae","Nepenthes L.","Nephentes ampullaria Jack.",,
"12CA55A5-0B8E-4C1E-80EB-3A71A4C602F2","BUNP-000086","TS 025","Entuyut (Dayak and Melayu of Kalimantan), Kantong Semar (Indonesia)",,,"published","09B23E6C-1F49-4392-B0C4-090E2051FF57","2024-09-27T11:12:29.366Z",,,,,"Selabi Village, Sekadau Hilir, Sekadau District, West Kalimantan","IS","49 N 9127 5838","120 asl","Swamps Forest",,,,,,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nephentaceae","Nepenthes L.","Nephentes ampullaria Jack.",,
